> -L"L1tr_DGXuyencap2"
107.137888	20.949464
106.064702	20.218156
> -L"L1tr_DGXuyencap2"
109.772883	14.444847
109.762519	15.024004
109.761673	15.165526
109.761155	15.200903
109.746171	15.385915
109.734731	15.580399
109.726291	15.706122
109.714643	15.813106
> -L"L1tr_DGXuyencap2"
108.216972	22.824799
108.504615	22.567242
108.765641	22.357363
> -L"L1tr_DGXuyencap2"
106.383678	21.240672
106.333144	21.240529
106.283642	21.240388
106.233111	21.24123
> -L"L1tr_DGXuyencap2"
109.507268	13.253212
109.333616	13.121201
109.254265	13.057366
> -L"L1tr_DGXuyencap2"
106.857935	11.309177
106.849899	11.303522
106.775683	11.251881
106.671051	11.179115
106.595629	11.131037
106.516338	11.081141
> -L"L1tr_DGXuyencap2"
106.840843	9.819187
106.801864	9.790466
106.581302	9.641028
105.816296	9.12502
> -L"L1tr_DGXuyencap2"
105.932642	20.057958
106.236088	19.910371
> -L"L1tr_DGXuyencap2"
105.596838	19.286976
105.687182	19.26885
106.605393	18.7007
> -L"L1tr_DGXuyencap2"
102.976485	19.697634
102.985349	19.507205
102.997169	19.291298
103.003078	19.153752
103.017853	18.999226
> -L"L1tr_DGXuyencap2"
106.873424	17.058925
106.913907	17.056029
107.033786	17.031408
107.119071	16.998367
107.171284	16.97339
> -L"L1tr_DGXuyencap2"
101.837629	22.658825
101.844498	22.653826
101.962918	22.581938
102.109452	22.483736
102.203239	22.409573
102.261344	22.368847
102.351797	22.298782
102.398375	22.25687
102.444312	22.214959
102.495359	22.174838
102.519308	22.152087
102.57027	22.120339
102.612325	22.08202
102.677668	22.022745
102.700304	22.002986
> -L"L1tr_DGXuyencap2"
102.825827	21.88803
102.838532	21.835982
102.842861	21.788129
102.839455	21.681069
102.830334	21.632032
102.824195	21.605123
102.800106	21.51483
102.769539	21.450096
> -L"L1tr_DGXuyencap2"
102.773448	22.404857
102.793873	22.399366
102.818623	22.393918
102.854108	22.388627
102.882332	22.386806
102.972714	22.387319
103.043169	22.393234
103.114754	22.405544
> -L"L1tr_DGXuyencap2"
102.969908	20.215786
102.948435	20.136258
102.906905	20.005349
102.84844	19.858109
102.78114	19.743652
102.679604	19.637483
102.544051	19.515032
102.417186	19.376177
102.290394	19.229134
102.155208	19.065735
102.000976	18.845263
> -L"L1tr_DGXuyencap2"
102.512006	14.16624
103.224469	13.574698
103.781496	13.184266
104.488005	12.494346
105.211156	11.853514
105.557748	11.651308
105.837077	11.455792
> -L"L1tr_DGXuyencap2"
101.976453	14.511427
102.161325	14.365885
102.297941	14.246823
102.442984	14.134745
> -L"L1tr_DGXuyencap2"
108.121068	16.116399
108.20841	16.110153
108.368608	16.094761
108.555917	16.095945
108.738109	16.104759
> -L"L1tr_DGXuyencap2"
104.898498	18.618214
104.959899	18.607705
105.030073	18.596032
105.11529	18.5832
105.187988	18.575056
105.26294	18.560446
105.32574	18.528085
> -L"L1tr_DGXuyencap2"
105.348012	18.51476
105.416026	18.462823
105.459631	18.42654
105.497324	18.3931
105.55719	18.339027
105.607276	18.297754
105.66198	18.250165
105.696879	18.212383
> -L"L1tr_DGXuyencap2"
107.57976	17.107909
107.222629	17.285091
107.043761	17.378031
106.929937	17.43999
106.828564	17.489261
106.693091	17.558773
106.591311	17.6189
106.50973	17.667569
> -L"L1tr_DGXuyencap2"
105.974986	17.387026
106.043901	17.343402
106.137932	17.284927
106.195516	17.246319
106.276635	17.201069
106.356332	17.167823
> -L"L1tr_DGXuyencap2"
106.767025	17.079202
106.812005	17.075581
106.869691	17.062546
> -L"L1tr_DGXuyencap2"
104.198823	20.449738
104.155432	20.461843
104.103136	20.482392
104.038101	20.511389
103.970562	20.55123
103.914512	20.588646
103.85468	20.636907
103.806338	20.682744
103.744097	20.731039
> -L"L1tr_DGXuyencap2"
104.39314	20.409858
104.499854	20.387674
104.546787	20.383503
104.592484	20.383935
104.637549	20.390119
104.68321	20.399752
104.741045	20.412796
104.849865	20.431918
> -L"L1tr_DGXuyencap2"
102.999537	21.352793
103.052705	21.200632
