> Border Bin # 225, Level 1
99.0623331044	20
99.0804913405	20.1002517739
99.3255512322	20.0660715648
99.5385671778	20.1493858244
99.4544899672	20.3883421073
99.6736095216	20.310826276
99.9591058213	20.4553292134
100	20.421606775
> Border Bin # 225, Level 1
97.1349660487	28.3813229572
97.3594262608	28.2038605325
97.3678187228	27.8966964218
97.2494087129	27.9075303273
97.1586175326	27.1206225681
97.0603494316	27.0928511482
> Border Bin # 225, Level 1
97.3479819944	28.2233920806
97.4688334478	28.296177615
97.631342031	28.4841687648
97.8011749447	28.3457694362
97.8988326848	28.3813229572
98.0189211872	28.2783245594
98.1522850385	28.1374837873
98.1307698177	27.9691767758
98.3163195239	27.5419241627
98.4086366064	27.557488365
98.4324406806	27.6894789044
98.704509041	27.5825131609
98.7780575265	26.7849240864
98.6652933547	26.2542153048
98.7306019684	26.1771572442
98.6643778134	26.098268101
98.648813611	26.1516746777
98.5680933852	26.1229877165
98.7107652399	25.8554970626
98.6318760967	25.8011749447
98.5308613718	25.8455786984
98.3266956588	25.5516899367
98.1652552071	25.6227969787
98.1385519188	25.3868925002
97.940794995	25.2141603723
97.8374914168	25.2622262913
97.7230487526	25.0824750134
97.8002594034	24.8514534218
97.5524528878	24.7431143664
97.5304798962	24.4414435035
97.6725413901	24.4370183871
97.7494468605	24.1635767147
97.5355153735	23.9397268635
97.6499580377	23.8516823072
98.0643930724	24.0891126879
98.4455634394	24.1361104753
98.5958648051	24.0781261921
98.8902113375	24.1608300908
98.8932631418	24.0988784619
98.6771953918	23.9681086442
98.6886396582	23.8013275349
98.8155947204	23.7671473259
98.8857862211	23.6133363851
98.8061341268	23.5416189822
98.9402609293	23.3136491951
98.8813611048	23.1880674449
99.1111619745	23.1020065614
99.5039291981	23.0896467536
99.5663385977	22.9381246662
99.4454871443	22.9497215229
99.3279926757	22.7447928588
99.3844510567	22.503852903
99.1627374685	22.1591515984
99.9655146105	22.0486762799
> Border Bin # 225, Level 1
99.9681086442	22.050202182
99.9732967117	21.7338826581
100	21.7232013428
> Border Bin # 226, Level 1
101.148088808	21.5713740749
101.216449226	21.5455863279
101.28191043	21.1802853437
101.568627451	21.2474250401
101.784695201	21.1427481498
101.851071946	21.2491035325
101.739223316	21.316395819
101.748378729	21.4782940414
101.8330663	21.6214236667
101.538567178	22.2400244144
101.628595407	22.2841229877
101.691462577	22.4722667277
101.787747005	22.4980544747
101.879148547	22.3822384985
102.027008469	22.455024033
102.25055314	22.4130617227
102.484168765	22.7739375906
102.857709621	22.6044098573
103.046921492	22.4350347143
103.336385138	22.7963683528
103.527428092	22.5836575875
103.652704662	22.7841611353
103.96520943	22.4988174258
104.109102007	22.7983520256
104.266117342	22.8294804303
104.261997406	22.7377737087
104.370031281	22.6858930343
104.583657588	22.8447394522
104.73136492	22.8166628519
104.861066606	22.936598764
104.825055314	23.1061264973
105.24055848	23.2605477989
105.325856413	23.3777370871
105.574120699	23.0603494316
105.724422065	23.0479896239
105.872434577	22.9103532464
106.134737163	22.9886320287
106.281681544	22.8593881132
106.520332647	22.935225452
106.821393149	22.8003356985
106.712443732	22.5867093919
106.605325399	22.6044098573
106.554207675	22.4541084916
106.695811398	22.2224765393
106.68284123	21.9691767758
106.755321584	22.0152590219
107.029221027	21.9366750591
107.020218204	21.8225375753
107.220874342	21.7084000916
107.301441978	21.7311360342
107.377431907	21.5980773632
107.453879606	21.6580453193
107.535820554	21.5863279164
107.785610742	21.6672007324
> Border Bin # 226, Level 1
100	20.421606775
100.091706722	20.3460746166
> Border Bin # 226, Level 1
102.13916228	22.3974975204
102.607766842	21.9255359731
102.676737621	21.6559090562
102.812848096	21.7257953765
102.821393149	21.8466468299
102.866712444	21.7111467155
102.976119631	21.739375906
103.000228885	21.5805294881
102.822766461	21.2571908141
102.918898299	21.2324711986
103.17051957	20.846723125
103.389181353	20.7838559548
103.455558099	20.8261234455
103.69359884	20.6572060731
103.805905241	20.8477912566
104.109102007	20.9771877623
104.645304036	20.6581216144
104.551155871	20.516365301
104.470893416	20.537270161
104.381933318	20.4446478981
104.621652552	20.4138246738
104.71107042	20.3375295644
104.68284123	20.2172884718
104.943617914	20.1814297704
104.978866255	20.0050354772
104.970626383	20
