2018	6	19	1	24	3.7	23.045	103.923	16.6	3.3
2018	7	3	14	20	24	23.353	103.832	19.3	3.2
2018	7	29	7	43	0	23.832	103.917	8.2	3.5
2018	7	30	6	0	9	24.186	104.179	10.0	3.5
2018	8	12	17	44	23	24.304	102.597	27.0	5.1
2018	8	13	19	50	35	24.192	102.676	14.0	5.0
2018	8	20	20	59	12.7	21.263	103.709	8.1	3.4
2018	9	7	5	42	59.2	22.624	102.270	10.0	3.8
2018	9	8	2	31	30	23.195	101.607	13.0	5.9
2018	9	19	15	8	28	23.225	105.850	29.2	3.3
2018	10	8	14	1	25	23.940	101.790	23.0	3.9
2018	10	12	18	4	43	22.181	101.497	10.0	3.2
2018	11	6	10	19	41.7	21.184	103.014	8.1	3.5
2018	12	27	7	30	4.2	22.705	102.040	20.8	4.2
2018	12	27	7	30	5.7	22.725	102.008	30.0	4.2
2019	1	6	14	46	32	23.310	101.054	4.5	3.7
2019	1	9	6	57	50	23.271	101.574	0.0	3.3
2019	1	9	14	13	9	21.309	101.694	7.1	3.5
2019	1	9	15	21	35	21.275	101.651	0.0	3.5
2019	1	10	9	8	11	21.298	101.636	2.8	3.8
2019	1	10	12	0	52	21.299	101.615	0.0	4.3
2019	1	12	9	48	5	21.483	104.033	3.3	3.0
2019	1	14	16	1	11	21.290	101.733	8.1	3.3
2019	1	15	18	26	54	21.274	101.721	7.9	3.7
2019	1	17	5	36	31.9	23.045	104.173	9.4	3.7
2019	1	28	8	11	36.3	20.929	107.434	16.7	3.0
2019	2	12	14	49	55	22.930	101.347	4.1	4.2
2019	2	13	9	29	36.6	23.404	102.12	17.1	3.6
2019	2	17	7	21	58	21.302	101.801	5.8	3.3
2019	2	17	8	37	27	21.268	101.65	0.8	3.5
2019	2	23	18	38	44	21.322	101.706	0.0	3.6
2019	3	29	6	3	19.8	23.375	102.308	17.1	3.6
2019	3	31	7	12	42	22.128	101.778	4.8	3.9
2019	4	22	18	22	12	24.006	103.183	17.1	3.7
2019	5	16	16	37	30.9	22.074	102.330	10.3	3.3
2019	5	21	10	49	29.8	21.371	103.315	6.4	4.0
2019	5	22	23	52	4	20.298	104.127	10.0	3.6
2019	5	27	23	31	28	22.928	101.690	2.4	3.4
2019	6	22	10	42	28.9	21.294	103.156	10.0	3.7
2019	7	1	11	16	4.8	21.965	103.473	17.1	3.3
2019	7	14	1	51	35.9	21.978	103.473	10.4	3.5
2019	7	14	15	13	5.3	22.377	106.609	10.0	3.6
2019	7	20	22	51	33	23.302	101.982	0.1	3.8
2019	8	27	9	27	51.8	22.087	102.404	7.3	3.1
2019	8	30	22	24	54	23.384	101.984	0.0	4.3
2019	9	1	7	12	34.3	22.204	108.174	16.2	3.0
2019	9	1	9	11	46.2	22.659	103.378	0.1	3.5
2019	9	22	7	55	46	22.209	101.753	13.6	3.9
2019	10	6	4	34	39.4	21.907	102.774	14.1	3.4
2019	11	3	0	16	26.7	23.168	103.877	17.0	3.3
2019	11	15	11	9	27.5	23.349	103.851	17.1	3.5
2019	11	19	0	44	1.7	23.255	103.887	17.0	3.7
2019	11	20	8	32	54.4	19.207	105.124	0.0	4.1
2019	11	20	8	32	58.1	19.341	105.179	0.0	4.1
2019	11	22	8	8	10	23.188	106.209	9.3	3.2
2019	11	27	21	29	16.5	21.339	103.285	17.4	3.0
2019	11	27	23	49	51.9	22.852	106.610	15.6	4.8
2019	11	28	1	4	22.5	22.876	106.586	13.9	3.0
2019	12	1	10	36	13.2	22.947	106.733	6.6	3.0
2019	12	3	6	11	54	22.934	106.696	5.8	3.1
2019	12	28	3	43	0.8	23.361	103.837	13.2	3.0
2019	12	30	12	45	10	22.521	103.163	2.8	3.1
2020	1	1	4	5	31.9	23.128	103.900	8.7	3.2
2020	1	3	12	40	19.8	23.304	103.862	8.7	3.1
2020	1	22	21	26	27	23.367	102.124	3.3	4.1
2020	2	19	9	27	2.4	22.906	106.725	5.3	3.3
2020	2	28	18	13	2	20.918	101.419	17.0	4.0
2020	3	12	21	17	12.8	23.696	104.259	0.0	3.1
